Player,Draft,Drafted,League,Birth Year,Age In Draft Yr,Listed Height,Height (in),GP,GS,MIN,PTS,FGM,FGA,FG%,ThreePtMade,ThreePtAttempts,ThreePtPercentage,FTM,FTA,FT%,OFF,DEF,TRB,AST,STL,BLK,TOV,PF,TS%,eFG%,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,Total S,PPR,PPS,ORtg,DRtg,PER
Georgios Papagiannis,2016,1,Greece,1997,19,7-2,86,22,5,12.00,6.82,3.00,4.41,0.68,0.00,0.00,0.00,0.82,1.23,0.67,1.23,1.64,2.86,0.50,0.23,0.73,0.73,1.95,0.69,0.68,13.78,16.42,15.17,8.56,12.81,1.05,6.48,22.71,134.71,-3.24,1.55,125.10,93.10,26.56
Juancho Hernangómez,2016,1,Spain,1995,21,6-9,81,34,22,23.70,9.68,3.15,6.91,0.46,1.00,2.79,0.36,2.38,3.32,0.72,1.71,4.03,5.74,0.56,0.82,0.26,1.35,1.29,0.58,0.53,9.00,23.47,15.88,4.39,13.91,1.93,1.23,19.77,153.00,-4.11,1.40,110.50,110.50,16.56
Guerschon Yabusele,2016,1,France,1995,21,6-8,80,34,17,28.70,11.50,4.26,7.91,0.54,0.76,1.79,0.43,2.21,2.88,0.77,2.56,4.26,6.82,1.06,1.09,0.44,1.62,2.47,0.63,0.59,11.45,19.43,15.40,7.25,14.98,2.14,1.56,18.92,173.06,-3.13,1.45,117.60,116.30,18.77
Ante Žižić,2016,1,ABA,1997,19,6-11,83,22,14,25.50,12.91,4.55,7.18,0.63,0.00,0.00,0.00,3.82,5.45,0.70,2.55,5.27,7.82,0.41,0.14,1.36,2.27,2.41,0.67,0.63,12.68,24.30,18.72,3.58,19.17,0.30,5.48,22.80,133.29,-7.86,1.80,115.40,102.20,24.28
Timothé Luwawu-Cabarrot,2016,1,ABA,1995,21,6-7,79,28,28,31.10,14.64,4.86,12.21,0.40,2.07,5.57,0.37,2.86,4.14,0.69,1.07,3.71,4.79,2.75,1.68,0.36,2.93,3.75,0.52,0.48,3.68,14.29,8.68,16.36,17.26,2.86,1.42,23.90,145.91,-3.35,1.20,101.50,97.40,16.41
Furkan Korkmaz,2016,1,Turkey,1997,19,6-7,79,37,5,13.00,5.08,1.97,4.14,0.48,0.81,2.08,0.39,0.32,0.51,0.63,0.41,0.95,1.35,0.70,0.27,0.05,0.46,1.46,0.58,0.58,3.97,9.37,6.65,8.67,9.53,1.16,0.44,17.84,149.83,0.07,1.23,117.50,109.70,12.49
Ivica Zubac,2016,1,Serbia,1997,19,7-0,84,13,9,22.50,10.92,4.69,9.38,0.50,0.00,0.00,0.00,1.54,1.92,0.80,1.92,3.15,5.08,0.85,0.77,1.46,1.46,2.92,0.53,0.50,10.35,17.10,13.71,6.37,12.50,1.76,7.01,22.85,130.00,-3.74,1.16,106.00,100.60,18.16
Rade Zagorac,2016,1,ABA,1995,21,6-9,81,13,6,29.40,13.08,4.23,9.38,0.45,0.77,2.77,0.28,3.85,4.62,0.83,1.77,4.08,5.85,2.38,1.69,0.23,2.69,2.85,0.57,0.49,6.87,16.14,11.46,15.17,19.08,2.99,0.93,21.20,156.19,-3.52,1.39,108.50,99.60,18.79
David Michineau,2016,1,France,1994,22,6-4,76,36,1,13.60,5.67,2.25,5.22,0.43,0.42,1.33,0.31,0.75,1.11,0.68,0.47,0.44,0.92,1.53,0.53,0.00,0.92,1.83,0.50,0.47,4.36,4.23,4.29,18.34,13.83,2.17,0.00,23.09,141.84,0.72,1.09,104.20,117.90,12.09
Zhou Qi,2016,1,China,1996,20,7-1,85,42,40,34.20,15.81,5.45,9.05,0.60,0.21,0.36,0.60,4.69,6.19,0.76,2.93,6.83,9.76,1.52,1.12,3.19,1.69,2.64,0.67,0.61,10.80,24.26,17.66,6.55,12.56,1.73,8.26,18.20,196.03,-2.00,1.75,134.60,106.30,22.11
Isaia Cordinier,2016,1,France-2,1996,20,6-5,77,32,18,23.40,10.84,3.53,7.62,0.46,1.25,3.09,0.40,2.53,3.25,0.78,0.72,2.91,3.62,2.00,1.19,0.53,2.38,3.06,0.60,0.55,3.79,15.24,9.53,17.85,20.78,2.84,2.04,23.98,164.60,-4.54,1.42,105.00,103.80,17.41
Paul Zipser,2016,1,Germany,1994,22,6-8,80,40,8,18.20,7.08,2.23,4.50,0.49,0.85,1.95,0.44,1.77,2.20,0.81,0.65,2.95,3.60,1.40,0.45,0.38,0.85,2.40,0.65,0.59,4.90,20.34,12.96,12.24,13.45,1.33,2.17,16.60,173.72,0.45,1.57,125.60,105.80,16.29
Petr Cornelie,2016,1,France,1995,21,6-11,83,39,8,19.10,8.77,3.36,6.46,0.52,0.85,2.15,0.39,1.21,1.82,0.66,1.64,3.49,5.13,0.28,0.31,0.44,0.95,2.59,0.60,0.59,10.44,22.58,16.45,2.90,11.55,0.94,2.32,21.11,157.47,-4.08,1.36,120.00,106.30,19.75
Wang Zhelin,2016,1,China,1994,22,7-0,84,8,6,23.70,11.25,4.50,9.12,0.49,0.00,0.25,0.00,2.25,3.38,0.67,2.62,4.12,6.75,1.25,0.00,0.50,1.88,2.75,0.53,0.49,14.41,21.70,18.13,8.44,15.02,0.00,1.87,24.77,115.98,-4.69,1.23,111.70,121.80,15.12
Kristaps Porziņģis,2015,1,Spain,1995,20,7-3,87,34,24,21.70,10.71,4.03,8.56,0.47,0.74,2.35,0.31,1.91,2.47,0.77,1.62,3.21,4.82,0.44,0.88,0.97,1.32,2.88,0.56,0.51,9.60,18.49,14.11,4.20,12.07,2.28,4.79,24.46,155.71,-4.71,1.25,109.20,108.40,19.23
Mario Hezonja,2015,1,Euroleague,1995,20,6-8,80,22,2,16.50,7.68,2.77,6.00,0.46,1.32,3.45,0.38,0.82,1.09,0.75,0.50,1.50,2.00,1.00,0.59,0.18,0.95,1.82,0.59,0.57,4.02,11.23,7.76,10.93,12.84,2.02,1.02,22.05,159.37,-1.75,1.28,111.60,104.60,15.86
Emmanuel Mudiay,2015,1,China,1996,19,6-5,77,12,0,31.50,18.00,7.33,15.33,0.48,1.08,3.17,0.34,2.25,3.92,0.57,2.00,4.25,6.25,5.92,1.58,0.08,3.25,1.58,0.53,0.51,7.73,17.04,12.30,31.84,16.00,2.65,0.24,29.09,139.48,2.23,1.17,110.10,111.30,17.88
Nikola Milutinov,2015,1,ABA,1994,21,7-0,84,29,20,28.00,9.79,3.79,6.62,0.57,0.00,0.03,0.00,2.21,3.76,0.59,3.59,4.00,7.59,1.34,0.41,0.83,1.34,2.76,0.59,0.57,15.54,17.76,16.63,9.12,13.98,0.85,3.03,16.55,116.01,-1.64,1.48,120.60,101.40,19.98
Cedi Osman,2015,1,Euroleague,1995,20,6-7,79,35,34,18.60,7.11,2.51,6.14,0.41,1.03,3.03,0.34,1.06,1.34,0.79,0.83,1.94,2.77,0.74,0.60,0.09,0.54,1.80,0.53,0.49,5.18,13.85,9.24,6.63,7.46,1.79,0.46,18.24,153.62,-0.25,1.16,112.10,113.00,13.02
Willy Hernangómez,2015,1,Spain,1994,21,6-11,83,34,20,21.10,10.62,4.24,7.88,0.54,0.03,0.18,0.17,2.12,3.06,0.69,2.41,3.79,6.21,0.53,0.91,0.41,2.06,2.15,0.58,0.54,14.69,22.46,18.63,5.34,18.24,2.41,2.09,25.84,139.63,-8.02,1.35,105.10,108.20,20.25
Juan Pablo Vaulet,2015,1,Argentina,1996,19,6-6,78,34,5,17.30,7.24,2.82,5.59,0.51,0.06,0.59,0.10,1.53,2.29,0.67,1.53,2.62,4.15,0.82,0.50,0.44,1.26,1.74,0.55,0.51,9.68,19.07,14.04,8.65,16.09,1.53,2.84,20.82,127.19,-4.09,1.29,105.80,101.10,17.62
Artūras Gudaitis,2015,1,Euroleague,1993,22,6-10,82,20,4,15.40,6.50,2.15,4.25,0.51,0.10,0.25,0.40,2.10,3.40,0.62,1.85,2.15,4.00,0.25,0.15,0.90,0.75,2.05,0.57,0.52,15.75,16.90,16.35,3.20,11.55,0.55,5.33,20.65,152.35,-3.82,1.53,115.00,104.90,18.87
Marcus Eriksson,2015,1,Spain,1993,22,6-7,79,33,18,23.90,11.18,3.82,9.33,0.41,2.09,5.58,0.38,1.45,1.55,0.94,0.36,1.45,1.82,0.79,0.42,0.15,0.91,1.70,0.56,0.52,1.85,8.01,4.81,6.56,8.32,1.00,0.62,21.92,172.53,-1.60,1.20,114.50,121.00,14.02
Dani Diez,2015,1,Spain,1993,22,6-8,80,30,28,29.60,12.13,4.37,9.10,0.48,1.93,4.67,0.41,1.47,2.03,0.72,1.13,5.70,6.83,0.53,1.03,0.03,1.17,1.07,0.61,0.59,4.90,23.97,14.57,3.63,10.45,2.00,0.11,19.06,161.55,-2.77,1.33,112.90,106.50,17.27
Nikola Radičević,2015,1,Spain,1994,21,6-5,77,33,17,20.60,7.00,2.64,6.79,0.39,0.58,2.21,0.26,1.15,1.76,0.66,0.24,2.15,2.39,2.91,0.67,0.00,1.64,1.79,0.46,0.43,1.51,13.01,7.34,26.06,17.79,1.81,0.00,21.65,130.38,1.46,1.03,95.10,114.40,10.62
Dimitrios Agravanis,2015,1,Euroleague,1994,21,6-10,82,20,2,12.50,4.05,1.70,4.00,0.43,0.40,1.70,0.24,0.25,0.60,0.42,0.90,1.80,2.70,0.40,0.25,0.35,0.25,2.75,0.48,0.48,9.43,17.45,13.60,6.23,5.54,1.16,2.98,18.50,107.70,0.14,1.01,102.40,101.80,11.49
Luka Mitrović,2015,1,Euroleague,1993,22,6-8,80,24,20,24.70,8.62,3.42,7.96,0.43,0.46,2.62,0.18,1.33,1.71,0.78,1.67,3.54,5.21,2.33,1.04,0.21,1.62,2.42,0.50,0.46,8.02,17.12,12.56,17.34,15.72,2.34,0.82,19.47,138.44,-0.28,1.08,102.00,100.70,13.84
Dario Šarić,2014,1,ABA,1994,20,6-10,82,28,28,32.90,16.68,5.86,11.64,0.50,1.07,3.11,0.35,3.89,5.71,0.68,2.25,7.46,9.71,3.21,1.29,0.64,3.43,3.14,0.59,0.55,9.86,24.90,18.40,19.73,19.50,2.24,2.02,27.20,152.91,-3.89,1.43,107.90,96.60,22.71
